2024/07/15 13:05:10 logger.go:19: ERROR: could not get img identifier due to irregular filename | '208125-6594991 -0300 -03 m=.png'
2024/07/15 13:05:10 logger.go:19: ERROR: could not get img identifier due to irregular filename | '77313-980762875 -0300 -03 m=.png'
2024/07/15 13:05:20 logger.go:19: ERROR: could not get img identifier due to irregular filename | '77313-980762875 -0300 -03 m=.png'
2024/07/15 13:05:20 logger.go:19: ERROR: could not get img identifier due to irregular filename | '80836-243297204 -0300 -03 m=.png'
2024/07/15 13:06:12 logger.go:19: ERROR: could not get img identifier due to irregular filename | '80836-243297204 -0300 -03 m=.png'
2024/07/15 13:06:12 logger.go:19: ERROR: could not get img identifier due to irregular filename | '58801-751164132 -0300 -03 m=.png'
2024/07/15 13:06:31 logger.go:19: ERROR: could not get img identifier due to irregular filename | '58801-751164132 -0300 -03 m=.png'
2024/07/15 13:06:31 logger.go:19: ERROR: could not get img identifier due to irregular filename | '167358-090585942 -0300 -03 m=.png'
2024/07/15 13:06:35 logger.go:19: ERROR: could not get img identifier due to irregular filename | '167358-090585942 -0300 -03 m=.png'
2024/07/15 13:06:35 logger.go:19: ERROR: could not get img identifier due to irregular filename | '57986-870508054 -0300 -03 m=.png'
2024/07/15 13:06:44 logger.go:19: ERROR: could not get img identifier due to irregular filename | '57986-870508054 -0300 -03 m=.png'
2024/07/15 13:06:44 logger.go:19: ERROR: could not get img identifier due to irregular filename | '58083-418055832 -0300 -03 m=.png'
2024/07/15 13:07:18 logger.go:19: ERROR: could not get img identifier due to irregular filename | '58083-418055832 -0300 -03 m=.png'
2024/07/15 13:07:18 logger.go:19: ERROR: could not get img identifier due to irregular filename | '212573-347480743 -0300 -03 m=.png'
2024/07/15 13:07:23 logger.go:19: ERROR: could not get img identifier due to irregular filename | '212573-347480743 -0300 -03 m=.png'
2024/07/15 13:07:23 logger.go:19: ERROR: could not get img identifier due to irregular filename | '68601-533178104 -0300 -03 m=.png'
2024/07/15 13:07:27 logger.go:19: ERROR: could not get img identifier due to irregular filename | '68601-533178104 -0300 -03 m=.png'
2024/07/15 13:07:27 logger.go:19: ERROR: could not get img identifier due to irregular filename | '68062-430585391 -0300 -03 m=.png'
2024/07/15 13:07:48 logger.go:19: ERROR: could not get img identifier due to irregular filename | '68062-430585391 -0300 -03 m=.png'
2024/07/15 13:07:48 logger.go:19: ERROR: could not get img identifier due to irregular filename | '175924-375041933 -0300 -03 m=.png'
2024/07/15 13:07:52 logger.go:19: ERROR: could not get img identifier due to irregular filename | '175924-375041933 -0300 -03 m=.png'
2024/07/15 13:07:52 logger.go:19: ERROR: could not get img identifier due to irregular filename | '71268-030916034 -0300 -03 m=.png'
2024/07/15 13:08:03 logger.go:19: ERROR: could not get img identifier due to irregular filename | '71268-030916034 -0300 -03 m=.png'
2024/07/15 13:08:03 logger.go:19: ERROR: could not get img identifier due to irregular filename | '71713-685651127 -0300 -03 m=.png'
2024/07/15 13:52:19 logger.go:19: ERROR: could not get img identifier due to irregular filename | '71713-685651127 -0300 -03 m=.png'
2024/07/15 13:52:19 logger.go:19: ERROR: could not get img identifier due to irregular filename | '365791-439510014 -0300 -03 m=.png'
2024/07/15 13:52:22 logger.go:19: ERROR: could not get img identifier due to irregular filename | '365791-439510014 -0300 -03 m=.png'
